respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08351467587502912,0.2855373281619321
26708,0.11853870472611404,0.07211952519892396
26709,0.2758333959492855,0.5046454699405578
26710,0.4952390464669432,0.8588699027692225
26711,0.23072964624753092,0.5449263527562688
26712,0.6100193024344395,0.9315166029313658
26713,0.22144097748058109,0.45700119694187874
26714,0.1520721909215812,0.2120487359290591
26715,0.02878466762480607,0.23002357038879517
26716,0.3138187964447601,0.8796071921103416
26717,0.007725764731439971,0.32490244530956364
26718,0.33894193436813824,0.7062022950415657
26719,0.10087886765902197,0.8983285053746418
26720,0.03022607530316379,0.1925286775372333
26721,0.5431152368665011,0.4560752038469894
26722,0.10918289292638075,0.09273217247245799
26723,0.7297566186700167,0.8153443179741123
26724,0.04749686831287029,0.503877309981873
26725,0.011888637762477167,0.0539887840645532
26726,0.008167438322986421,0.05332193214014193
26727,0.40173746010976086,0.7872050077344093
26728,0.29623219332468465,0.6702462946209239
26729,0.3976742125773251,0.9116974000967989
26730,0.02706560139631311,0.3126776489999403
26731,0.018069154308134064,0.20934742855531444
26732,0.09834480289511455,0.1146906883518031
26733,0.9385061495451994,0.9298049979833346
26734,0.9177318024041557,0.3927208092555319
26735,0.17395321974019798,0.5221284664354541
26736,0.07771505801771676,0.21216570352305542
26737,0.08657257749696282,0.0902338487986955
26738,0.6178751571319233,0.80428676818
26739,0.2054885481157054,0.3635256082835948
26740,0.15035697684627772,0.10836759022209287
26741,0.10939592657540786,0.8783252736362736
26742,0.1308952981540924,0.43661906637841236
26743,0.06908322449675643,0.477103512982237
26744,0.048568388771783856,0.7501864136872987
26745,0.048158433522488255,0.874051887195729
26746,0.12114761800131661,0.3518807710690022
26747,0.018928311660872048,0.10584220408303693
26748,0.033102813448968864,0.02630846428301213
26749,0.16917094473642602,0.7455732003430168
26750,0.5063159665432969,0.8856467917696444
26751,0.39154008165898024,0.6868703578204663
26752,0.02424005052773434,0.017467045834513268
26753,0.3102932767340749,0.6563569464168953
26754,0.21187616958137456,0.7790792559286848
26755,0.13791244455403504,0.38649645359099694
26756,0.026608346155908756,0.03416719349986333
26757,0.22911918328419886,0.5710075033849739
26758,0.618686543099072,0.8891729391829991
26759,0.011136185401343139,0.2107042920814529
26760,0.01802220497304785,0.059765309653854966
26761,0.2094307758482588,0.5739829543095987
26762,0.20629876586701512,0.8173907008205834
26763,0.8966929411467316,0.9559709804156176
26764,0.9557365765757458,0.9683390408666736
26765,0.027802496756194048,0.7869415790229864
26766,0.12612350485953444,0.2515518346271652
26767,0.7987340188365196,0.8208612045209688
26768,0.011167430142409708,0.619593020022782
26769,0.07329366097986008,0.23235728449990986
26770,0.03876989861895212,0.4758599455847174
26771,0.011468220186065522,0.04790450306050536
26772,0.07005254374295486,0.44476503949129786
26773,0.016333637806559054,0.41572583930197793
26774,0.01142836533923118,0.32466866123165844
26775,0.044633185702783226,0.5194093702527618
26776,0.36272907750315614,0.3724360428019811
26777,0.12673370689363428,0.9145762179312308
26778,0.22058373587169958,0.10117055406254433
26779,0.22717194799142534,0.6704980096481532
26780,0.04969693291007649,0.9348693295402254
26781,0.02368345322322177,0.33734577541301664
26782,0.05618974584982616,0.3603221745582512
26783,0.02840962655865446,0.23280729285958615
26784,0.2260603626381035,0.8351258800709243
26785,0.37915721338077457,0.6714599574744637
26786,0.04159324028158815,0.2233837796115424
26787,0.06537300604912445,0.46726724866477215
26788,0.037113562374586496,0.7744728704865305
26789,0.021481249762873342,0.3065084535142289
26790,0.034364389152770125,0.24624130550911708
26791,0.2904118460374498,0.3805798275079018
26792,0.1432920299029326,0.8264621449226301
26793,0.14838206714896462,0.8962109036888232
26794,0.731328007420767,0.9294797934935158
26795,0.06590299557447712,0.9560898454495863
26796,0.04657587309193128,0.05754861187531451
26797,0.21852772333678325,0.847858754446316
26798,0.26526529225633544,0.1885738450055693
26799,0.34575784096522094,0.2671427536056676
26800,0.04682282004908252,0.9079963565781095
